County,License Number,Operation Type,Nursery Size,Greenhouse Size,Trade Name,Owner Name,Business Phone,Street Number,Street Name,Address Line 2,Address Line 3,City,State,Zip Code,Location
ALBANY,645051,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",CURRANS NURSERY,CHARLES CURRAN,518-272-2972,215,BOGHT RD,,,WATERVLIET,NY,12189,"215 BOGHT RD
WATERVLIET, NY 12189
(42.753282, -73.716879)"
ALBANY,644503,Nursery Stock Only,10 Acres or Less,,DECKERS LANDSCAPING AND NURSERY INC,DECKERS LANDSCAPING AND NURSERY INC,518-887-5552,1157,NEW LOUDON RD,,,LATHAM,NY,12110,"1157 NEW LOUDON RD
LATHAM, NY 12110"
ALBANY,644979,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less","DJH BONSAI, LLC",DAVID J. HODGETTS,518-380-4508,1793,TERRYTOWN ROAD,,,FEURA BUSH,NY,12067,"1793 TERRYTOWN ROAD
FEURA BUSH, NY 12067
(42.556748, -73.942706)"
ALBANY,10080,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",EIGHT MILE CREEK FARM,MCSWEENEY PAMELA & JAMES,518-649-0950,40,JOHNNY CAKE HILL ROAD,,,WESTERLO,NY,12193,"40 JOHNNY CAKE HILL ROAD
WESTERLO, NY 12193
(42.480346, -74.084758)"
ALBANY,10118,Combined Nursery and Greenhouse,10 Acres or Less,"2,001-20,000 SqFt of Glass",FADDEGONS NURSERY INC,FADDEGONS NURSERY INC,518-785-6726,1140,TROY SCHENECTADY ROAD,,,LATHAM,NY,12110,"1140 TROY SCHENECTADY ROAD
LATHAM, NY 12110
(42.767926, -73.816936)"
ALBANY,15066,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",FELTHOUSENS INC,FELTHOUSENS INC,518-237-2100,250,COLUMBIA STREET,,,COHOES,NY,12047,"250 COLUMBIA STREET
COHOES, NY 12047
(42.772528, -73.715625)"
ALBANY,11307,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",FEURA FARM,STANTON TIMOTHY W,518-768-2344,210,ONESQUETHAW CREEK RD,,,FEURA BUSH,NY,12067,"210 ONESQUETHAW CREEK RD
FEURA BUSH, NY 12067
(42.560479, -73.894585)"
ALBANY,16297,Combined Nursery and Greenhouse,10 Acres or Less,"2,001-20,000 SqFt of Glass",FEURA FARM,STANTON TIMOTHY W,518-966-5797,,SR32 & CR406-STANTONS OLD HMST,,,GREENVILLE,NY,12083,"SR32
GREENVILLE, NY 12083"
ALBANY,16296,Combined Nursery and Greenhouse,10 Acres or Less,"2,001-20,000 SqFt of Glass",FEURA FARM OUR FAMILYS HRVST,STANTON TIMOTHY W,518-768-2344,2045,N SCOTLAND,,,NEW SCOTLAND,NY,12159,"2045 N SCOTLAND
NEW SCOTLAND, NY 12159"
ALBANY,13378,Combined Nursery and Greenhouse,10 Acres or Less,"20,001 SqFt of Glass or More",GADE FARM LLC,GADE JOHN JR JOHN III& JAMES,518-869-8019,2479,WESTERN AVENUE,,,ALTAMONT,NY,12009,"2479 WESTERN AVENUE
ALTAMONT, NY 12009
(42.709741, -73.925008)"
ALBANY,645046,Combined Nursery and Greenhouse,10 Acres or Less,"2,001-20,000 SqFt of Glass",GEORGES MARKET & CAFE,GEORGE VOGT,518-365-4113,945,WATERVLIET SHAKER ROAD,,,ALBANY,NY,12205,"945 WATERVLIET SHAKER ROAD
ALBANY, NY 12205
(42.738798, -73.825267)"
ALBANY,15650,Combined Nursery and Greenhouse,10 Acres or Less,"2,001-20,000 SqFt of Glass",GEORGES MARKET & NURSERY LLC,GEORGES MKT & NURSERY LLC,518-785-4210,240,WADE ROAD EXTENSION,,,LATHAM,NY,12110,"240 WADE ROAD EXTENSION
LATHAM, NY 12110
(42.759318, -73.768146)"
ALBANY,14782,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",GOOD-LIFE GARDENS,FARFIELD KAREN,518-482-8203,60,WELLINGTON AVENUE,,,ALBANY,NY,12203,"60 WELLINGTON AVENUE
ALBANY, NY 12203
(42.670187, -73.819852)"
ALBANY,10812,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",HELDERLEDGE FARM,STEINKAMP PAUL R & MARDELL P,518-765-4702,435,PICARD ROAD,,,ALTAMONT,NY,12009,"435 PICARD ROAD
ALTAMONT, NY 12009
(42.652541, -73.987327)"
ALBANY,15169,Combined Nursery and Greenhouse,10 Acres or Less,"2,001-20,000 SqFt of Glass",HEWITTS GARDEN CENTER INC,HEWITTS GARDEN CENTER INC,518-399-4959,1969,WESTERN AVENUE,,,ALBANY,NY,12203,"1969 WESTERN AVENUE
ALBANY, NY 12203
(42.694082, -73.878331)"
ALBANY,14239,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",HEWITTS GARDEN CENTER INC,HEWITTS GARDEN CENTER INC,518-399-4959,607,FEURA BUSH ROAD,,,GLENMONT,NY,12077,"607 FEURA BUSH ROAD
GLENMONT, NY 12077
(42.601406, -73.814733)"
ALBANY,645692,Greenhouse Stock Only,10 Acres or Less,"2,001-20,000 SqFt of Glass",HIGH FALLS AGRICULTURE,RICHARD WERSEMAN,518-767-3420,139,CREBLE ROAD,,,SELKIRK,NY,12158,"139 CREBLE ROAD
SELKIRK, NY 12158
(42.561788, -73.822023)"
ALBANY,17070,Greenhouse Stock Only,,"20,001 SqFt of Glass or More",HILLARDS GREENHOUSE,RAY C LYON,518-785-6775,323,WOLF ROAD,,,LATHAM,NY,12110,"323 WOLF ROAD
LATHAM, NY 12110
(42.737119, -73.791365)"
ALBANY,10603,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",HILLBILLY BOBS GARDEN,KNOWLES JANICE & ROBERT,518-872-2534,1081,SWITZKILL ROAD,,,BERNE,NY,12023,"1081 SWITZKILL ROAD
BERNE, NY 12023
(42.563817, -74.108278)"
ALBANY,13906,Combined Nursery and Greenhouse,10 Acres or Less,"2,001-20,000 SqFt of Glass",H U R B LANDSCAPING INC,H U R B LANDSCAPING INC,518-464-5030,4278,ALBANY STREET,,,ALBANY,NY,12205,"4278 ALBANY STREET
ALBANY, NY 12205
(42.730555, -73.861907)"
ALBANY,644472,Combined Nursery and Greenhouse,10 Acres or Less,"2,001-20,000 SqFt of Glass",JEFF AND CHRISSY BUHRMASTER,JEFF AND CHRISSY BUHRMASTER,518-788-1506,4120,RIVER RD,,,LATHAM,NY,12110,"4120 RIVER RD
LATHAM, NY 12110
(42.771067, -73.802682)"
ALBANY,644805,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",KOLBERS DEERFIELD FARM,JOANNE M PENESSO,518-275-0570,916,ROUTE STE 9W,,,SELKIRK,NY,12158,"916 ROUTE STE 9 W
SELKIRK, NY 12158"
ALBANY,12785,Greenhouse Stock Only,,"20,001 SqFt of Glass or More",KRUG FARMS LLC,KRUG FARMS LLC,518-482-5406,65,EVERETT ROAD,,,ALBANY,NY,12205,"65 EVERETT ROAD
ALBANY, NY 12205
(42.691127, -73.777474)"
ALBANY,11517,Nursery Stock Only,10 Acres or Less,,KRUMKILL NURSERIES INC,KRUMKILL NURSERIES INC,518-459-3246,927,KRUMKILL ROAD,,,SLINGERLANDS,NY,12159,"927 KRUMKILL ROAD
SLINGERLANDS, NY 12159
(42.664076, -73.888111)"
ALBANY,644620,Nursery Stock Only,10 Acres or Less,,LANDLINE FARM,AERON SIMENDINGER,518-366-8457,7,S ROYAL DR,,,ALBANY,NY,12205,"7 S ROYAL DR
ALBANY, NY 12205
(42.746971, -73.851708)"
ALBANY,645188,Nursery Stock Only,10 Acres or Less,,LANDLINE FARM,AERON SIMENDINGER,518-366-8457,6152,STATE FARM ROAD,,,GUILDERLAND,NY,12084,"6152 STATE FARM ROAD
GUILDERLAND, NY 12084
(42.696329, -73.88915)"
ALBANY,11277,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",LANSINGS FARM,LANSING ALBERT E JR,518-374-1637,204,LISHAKILL ROAD,,,SCHENECTADY,NY,12309,"204 LISHAKILL ROAD
SCHENECTADY, NY 12309
(42.761444, -73.85728)"
ALBANY,16969,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",MAE FLOWERS & GREENHSE,ROBERTS DEBORAH MAE,518-269-6984,1764,BERNE-ALTAMONT ROAD,,,ALTAMONT,NY,12009,"1764 BERNE-ALTAMONT ROAD
ALTAMONT, NY 12009
(42.677388, -74.084345)"
ALBANY,644552,Combined Nursery and Greenhouse,10 Acres or Less,"20,001 SqFt of Glass or More",M & K GREENHOUSES INC,MARK AND KIM VERSTANDIG,585-748-0234,139,CREBLE ROAD,,,SELKIRK,NY,12158,"139 CREBLE ROAD
SELKIRK, NY 12158
(42.561788, -73.822023)"
ALBANY,645322,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",NEWCOMBS FARM,MEREDITH NEWCOMB,518-527-5696,1498,THACHER PARK ROAD,,,EAST BERNE,NY,12059,"1498 THACHER PARK ROAD
EAST BERNE, NY 12059
(42.629252, -74.062139)"
ALBANY,645466,Greenhouse Stock Only,,"2,000 SqFt of Glass or Less",ORGANICA GARDEN SUPPLY/TCLS LLC,TRAVIS CARTER,518-729-5950,484,CENTRAL AVENUE,,,ALBANY,NY,12206,"484 CENTRAL AVENUE
ALBANY, NY 12206
(42.669632, -73.778065)"
ALBANY,17147,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",ORLOPS GREENHOUSE,"ORLOP NANCY, DICKERSHAID MATT",518-785-6313,4070,RIVER ROAD,,,SCHENECTADY,NY,12309,"4070 RIVER ROAD
SCHENECTADY, NY 12309
(42.77244, -73.817022)"
ALBANY,644253,Greenhouse Stock Only,,"2,000 SqFt of Glass or Less",PICK-A-WEED FARMS,WATT RICHARD & LAURA,518-767-2869,656,STARR RD,,,RAVENA,NY,12143,"656 STARR RD
RAVENA, NY 12143
(42.506428, -73.869905)"
ALBANY,12636,Combined Nursery and Greenhouse,10 Acres or Less,"20,001 SqFt of Glass or More",PLASKE LISHAKILL GREENHOUSE,PLASKE KENNETH S,518-869-0135,138,LISHA KILL ROAD,,,ALBANY,NY,12205,"138 LISHA KILL ROAD
ALBANY, NY 12205
(42.75927, -73.860151)"
ALBANY,11286,Nursery Stock Only,10 Acres or Less,,RAY MAR TREE FARM,MALKIEWICZ MARY ANN & JAMES,518-466-5322,73,LANSING ROAD NORTH,,,SCHENECTADY,NY,12304,"73 LANSING ROAD NORTH
SCHENECTADY, NY 12304
(42.766468, -73.879715)"
ALBANY,645419,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",R.E.D. FLOWERS,JONATHAN R DIETZEL,518-456-3540,111,LISHAKILL RD,,,ALBANY,NY,12205,"111 LISHAKILL RD
ALBANY, NY 12205
(42.757286, -73.862113)"
ALBANY,645514,Nursery Stock Only,10 Acres or Less,,SAMANTHA PETTIT,SAMANTHA PETTIT,518-859-6074,1028,NEW SCOTLAND ROAD,,,ALBANY,NY,12208,"1028 NEW SCOTLAND ROAD
ALBANY, NY 12208
(42.650681, -73.830876)"
ALBANY,644135,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",SEVENZOCKS NURSERY & GARDEN SUPPLY,MATTHEW KOZAKIEWICZ,518-635-4111,1277,RTE 9W,,,SELKIRK,NY,12158,"1277 RTE 9 W
SELKIRK, NY 12158
(42.545697, -73.806884)"
ALBANY,15469,Combined Nursery and Greenhouse,11-100 Acres,"2,001-20,000 SqFt of Glass",TROYS LANDSCAPE SUPPLY CO INC,TROYS LNDSCAPE SUPPLY CO,518-785-1526,1266,LOUDON ROAD,,,COHOES,NY,12047,"1266 LOUDON ROAD
COHOES, NY 12047
(42.80297, -73.733597)"
ALBANY,13232,Combined Nursery and Greenhouse,10 Acres or Less,"20,001 SqFt of Glass or More",VALOZE GREENHOUSES INC,VALOZE GREENHOUSES INC,518-785-4343,5,GROVE LANE,,,COHOES,NY,12047,"5 GROVE LANE
COHOES, NY 12047
(42.789461, -73.736396)"
ALBANY,12687,Nursery Stock Only,10 Acres or Less,,WEATHERED WILLOW TREE FARM,MACINTOSH EARL AND ANNE,518-355-8570,2090,W OLD STATE ROAD,,,ALTAMONT,NY,12009,"2090 W OLD STATE ROAD
ALTAMONT, NY 12009
(42.746578, -73.997207)"
ALBANY,645646,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",WINDY HILL FARM,GEORGE MARIANI,518-330-9505,531,KRUMKILL ROAD,,,ALBANY,NY,12203,"531 KRUMKILL ROAD
ALBANY, NY 12203
(42.66596, -73.854783)"
ALBANY,15064,Nursery Stock Only,10 Acres or Less,,YONDER FARMS,"CHIARO,J DAVID PETER AND WILLIAM",518-283-4267,4301,ALBANY STREET,,,ALBANY,NY,12205,"4301 ALBANY STREET
ALBANY, NY 12205
(42.728335, -73.856311)"
ALLEGANY,645705,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",BACKPORCH PRODUCE,CHERI LIDDLE,716-946-8308,10260,FAIRVIEW ROAD,,,FARMERSVILLE STATION,NY,14060,"10260 FAIRVIEW ROAD
FARMERSVILLE STATION, NY 14060
(42.448471, -78.29257)"
ALLEGANY,26851,Combined Nursery and Greenhouse,10 Acres or Less,"2,001-20,000 SqFt of Glass",BYLERS GREENHOUSE,BYLER CHRIS,,8389,ROUTE 305,,,BELFAST,NY,14711,"8389 ROUTE
BELFAST, NY 14711"
ALLEGANY,20315,Combined Nursery and Greenhouse,11-100 Acres,"2,000 SqFt of Glass or Less",CDS FARMS INC,CDS FARMS INC,315-524-8519,,ROUTE 243,,,RUSHFORD,NY,14777,"243 RUSHFORD
NY 14777"
ALLEGANY,644588,Greenhouse Stock Only,,"2,000 SqFt of Glass or Less",COMES GREENHOUSE,JAMES COMES,607-276-6178,6769,RT 21,,,ALMOND,NY,14804,"6769 RT
ALMOND, NY 14804"
ALLEGANY,27273,Combined Nursery and Greenhouse,10 Acres or Less,"2,001-20,000 SqFt of Glass",CRYDER CREEK GARDENS,LUKACZ CHRISTINA,607-356-3383,735,SPICER ROAD,,,WHITESVILLE,NY,14897,"735 SPICER ROAD
WHITESVILLE, NY 14897
(42.031083, -77.812842)"
ALLEGANY,644929,Nursery Stock Only,10 Acres or Less,,CYNTHIA NICHOLS,ELIZABETH BRUNDAGE,716-244-8888,9717,COUNTY LINE RD,,,FARMERSVILLE STATION,NY,14060,"9717 COUNTY LINE RD
FARMERSVILLE STATION, NY 14060
(42.423625, -78.308448)"
ALLEGANY,645536,Nursery Stock Only,10 Acres or Less,,CYNTHIA NICHOLS - SELL,CYNTHIA J NICHOLS,716-244-8888,,ROUTE 243,,,RUSHFORD,NY,14777,"243 RUSHFORD
NY 14777"
ALLEGANY,645439,Greenhouse Stock Only,,"2,000 SqFt of Glass or Less",DANIEL J. MILLER,DANIEL J. MILLER,585-567-2744,11331,HODNETT ROAD,,,FILLMORE,NY,14735,"11331 HODNETT ROAD
FILLMORE, NY 14735
(42.495469, -78.182436)"
ALLEGANY,645415,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",DAVID D TROYER,DAVID D. TROYER,585-968-0237,8285,DEKAY ROAD,,,BLACK CREEK,NY,14714,"8285 DEKAY ROAD
BLACK CREEK, NY 14714
(42.263324, -78.210856)"
ALLEGANY,644583,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",DIVERSIFIED ACRES,SIMON GIROD,,11101,FITCH FARM ROAD,,,FREEDOM,NY,14065,"11101 FITCH FARM ROAD
FREEDOM, NY 14065
(42.486477, -78.204932)"
ALLEGANY,643990,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",DYLMAN GARDENS,RYAN HAMLET,716-672-9296,8452,COUNTY RD 1,,,FRIENDSHIP,NY,14739,"8452 COUNTY RD
FRIENDSHIP, NY 14739"
ALLEGANY,644586,Combined Nursery and Greenhouse,,"2,001-20,000 SqFt of Glass",E AND M GREENHOUSE N PRODUCE,ELI E. AND MARY J. TROYER,585-968-8330,6129,RT 305,,,BLACK CREEK,NY,14714,"6129 RT
BLACK CREEK, NY 14714"
ALLEGANY,27093,Combined Nursery and Greenhouse,10 Acres or Less,"2,001-20,000 SqFt of Glass",EAST WIND LANDSCAPE NURSERY LLC,EAST WIND LNDSCP NUR LLC,585-268-5535,5614,"STATE ROUTE 19,",,,BELMONT,NY,14813,"5614 STATE ROUTE
BELMONT, NY 14813"
ALLEGANY,25449,Nursery Stock Only,11-100 Acres,,FIR EVERGREEN TREE FARM,MESSNER D WILLIAM C,607-382-2441,,ELLIS HILL ROAD,,,ARKPORT,NY,14807,
ALLEGANY,466996,Nursery Stock Only,10 Acres or Less,,HIDDEN SPRINGS TREEFARM LLC,KRAUS KEITH A AND MICHELLE D,607-525-6456,350,SNYDER GULLY ROAD,,,ANDOVER,NY,14806,"350 SNYDER GULLY ROAD
ANDOVER, NY 14806
(42.183378, -77.744158)"
ALLEGANY,466997,Nursery Stock Only,10 Acres or Less,,HIDDEN SPRINGS TREEFARM LLC,KRAUS KEITH A AND MICHELLE D,607-525-6456,440,SNYDER GULLY ROAD,,,ANDOVER,NY,14806,"440 SNYDER GULLY ROAD
ANDOVER, NY 14806
(42.183319, -77.751969)"
ALLEGANY,645486,Nursery Stock Only,10 Acres or Less,,HIDDEN SPRINGS TREE FARM LLC - GROW,KEITH A AND MICHELLE D KRAUS,607-525-6456,,BINES HILL ROAD,,,ANDOVER,NY,14806,
ALLEGANY,645487,Nursery Stock Only,10 Acres or Less,,HIDDEN SPRINGS TREE FARM LLC- GROW,KEITH A AND MICHELLE D KRAUS,607-525-6456,4310,BOYD ROAD,,,ANDOVER,NY,14806,"4310 BOYD ROAD
ANDOVER, NY 14806"
ALLEGANY,645488,Nursery Stock Only,10 Acres or Less,,HIDDEN SPRINGS TREE FARM LLC- GROW,KEITH A AND MICHELLE D KRAUS,607-525-6456,4310,BINES HILL ROAD,,,ANDOVER,NY,14806,"4310 BINES HILL ROAD
ANDOVER, NY 14806
(42.189155, -77.780372)"
ALLEGANY,645336,Greenhouse Stock Only,,"2,000 SqFt of Glass or Less",HILLTOP GREENHOUSE,MOSE AND AMANDA BYLER,AMISH,9087,COUNTY ROUTE 15,,,FILLMORE,NY,14735,"9087 COUNTY ROUTE
FILLMORE, NY 14735"
ALLEGANY,26193,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",J&E GREENHOUSE,TROYER JONATHAN ELLA,,6154,ROUTE 305,,,BLACK CREEK,NY,14714,"6154 ROUTE
BLACK CREEK, NY 14714"
ALLEGANY,22805,Nursery Stock Only,101 Acres or More,,KENT FARMS INC,KENT FARMS INC,607-478-8805,1764,JONES ROAD,,,ANDOVER,NY,14806,"1764 JONES ROAD
ANDOVER, NY 14806
(42.170151, -77.823033)"
ALLEGANY,567236,Nursery Stock Only,11-100 Acres,,MARCUS FARMS INC,MARCUS FARMS INC,607-295-7527,,COUNTY ROUTE 32,,,ALMOND,NY,14804,"32 ALMOND
NY 14804"
ALLEGANY,20489,Nursery Stock Only,101 Acres or More,,MARCUS FARMS INC,MARCUS FARMS INC,607-295-7527,196,ELLIS HILL ROAD,,,ARKPORT,NY,14807,"196 ELLIS HILL ROAD
ARKPORT, NY 14807
(42.388613, -77.730839)"
ALLEGANY,644782,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",MILLERS GREENHOUSE,CRIST E. MILLER,,2329,STATE RD 248,,,WELLSVILLE,NY,14895,"2329 STATE RD
WELLSVILLE, NY 14895"
ALLEGANY,645414,Greenhouse Stock Only,,"2,000 SqFt of Glass or Less",M&M PRODUCE,MAHLON & MIRIAM GIROD,NONE,7918,TUCKER HILL ROAD,,,HOUGHTON,NY,14744,"7918 TUCKER HILL ROAD
HOUGHTON, NY 14744
(42.424965, -78.18761)"
ALLEGANY,26937,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",NEW COUNTRY FLOWERS,JAMES B & KATHLEEN FELIP,607-478-5491,2179,BAKER ROAD,,,ANDOVER,NY,14806,"2179 BAKER ROAD
ANDOVER, NY 14806
(42.14147, -77.833668)"
ALLEGANY,26708,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",NEW STARTS,BALDWIN HOWARD THOMAS,202-210-9503,6586,LITTLE JOHN ROAD,,,BELFAST,NY,14711,"6586 LITTLE JOHN ROAD
BELFAST, NY 14711
(42.314814, -78.110437)"
ALLEGANY,645253,Greenhouse Stock Only,,"2,000 SqFt of Glass or Less",PINE VALLEY GREENHOUSE,RUDY J BYLER,585-365-2140,7041,COUNTY ROAD 17,,,BELFAST,NY,14711,"7041 COUNTY ROAD
BELFAST, NY 14711"
ALLEGANY,643761,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",QUEST FARMS,BRIDGET REYNOLDS,607-661-8031,7142,STATE ROUTE 21,,,ALMOND,NY,14804,"7142 STATE ROUTE
ALMOND, NY 14804"
ALLEGANY,24089,Nursery Stock Only,101 Acres or More,,REISS BLUE SPRUCE FARM,"REISS KENNETH G, DONA M",716-372-8628,63,WOLF RUN ROAD,,,CUBA,NY,14727,"63 WOLF RUN ROAD
CUBA, NY 14727
(42.118017, -78.311997)"
ALLEGANY,645601,Greenhouse Stock Only,,"2,000 SqFt of Glass or Less",RIVER SIDE FARMS,STEPHEN DEMANTE,716-560-5594,3314,RIVERSIDE DRIVE,,,SCIO,NY,14880,"3314 RIVERSIDE DRIVE
SCIO, NY 14880
(42.141422, -77.975444)"
ALLEGANY,644649,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",SIMPLY THE EARTH,KRISTIN VANDERPLOEG,716-227-0199,8902,COUNTY RD 3,,,FREEDOM,NY,14065,"8902 COUNTY RD
FREEDOM, NY 14065
(43.032665, -78.65946)"
ALLEGANY,645561,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",SNYDER HILL,DEBRA BENTLEY,585-567-2621,5949,CR 4,,,FILLMORE,NY,14735,"5949 CR
FILLMORE, NY 14735"
ALLEGANY,20761,Combined Nursery and Greenhouse,10 Acres or Less,"2,001-20,000 SqFt of Glass",SOUTHERN TIER CONSULTNG,SOUTHERN TIER CONSULTING INC,585-968-3120,2701-A,ROUTE 305,,,CUBA,NY,14727,"2701-A ROUTE
CUBA, NY 14727"
ALLEGANY,645039,Greenhouse Stock Only,,"2,000 SqFt of Glass or Less",SPRING HILLS,SPRING HILLS,,7286,COUNTY RD 41,,,FRIENDSHIP,NY,14739,"7286 COUNTY RD
FRIENDSHIP, NY 14739"
ALLEGANY,644654,Nursery Stock Only,10 Acres or Less,,SPRUCE IT UP TREE FARM,FREDERICK W GREENTHAL,607-587-9300,1658,MOLAND RD,,,ALFRED STATION,NY,14803,"1658 MOLAND RD
ALFRED STATION, NY 14803
(42.255885, -77.818449)"
ALLEGANY,645157,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",S&S GREENHOUSE,SAM GIROD,585-567-4719,10470,COUNTY ROUTE 23,,,FILLMORE,NY,14735,"10470 COUNTY ROUTE
FILLMORE, NY 14735"
ALLEGANY,645791,Greenhouse Stock Only,,"2,000 SqFt of Glass or Less",WAGONER BEES + PRODUCE,TERRY WAGONER,585-610-8836,11137,WAYNE ROAD,,,FILLMORE,NY,14735,"11137 WAYNE ROAD
FILLMORE, NY 14735
(42.480638, -78.090425)"
ALLEGANY,25253,Greenhouse Stock Only,,"2,000 SqFt of Glass or Less",YODERS GREENHOUSE,YODER SIMON,,8474,COUNTY ROAD 3,,,FREEDOM,NY,14065,"8474 COUNTY ROAD
FREEDOM, NY 14065"
ALLEGANY,27172,Nursery Stock Only,101 Acres or More,,YULE TREE FARMS,STUTZMAN DAN & CLAYTON,607-324-5374,,BAILEY HILL ROAD,,,BISHOPVILLE,NY,14804,
BRONX,606279,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",BISSEL GARDENS INC,BISSEL GARDENS INC,212-346-9933,,BISSEL AVENUE,,,BRONX,NY,10466,
